time	V(N007,N012)	V(Vcc_led,Vi_led6)	I(D15)
0.000000000000000e+00	4.577637e-05	0.000000e+00	-1.101816e-15
1.020500000000002e-06	4.577637e-05	0.000000e+00	-5.385127e-15
2.044500000000005e-06	4.577637e-05	0.000000e+00	8.384821e-15
3.068500000000007e-06	4.577637e-05	0.000000e+00	1.607825e-14
4.092500000000010e-06	4.577637e-05	0.000000e+00	3.894920e-15
5.010000000000000e-06	4.577637e-05	0.000000e+00	-9.103829e-15
5.010027668154847e-06	4.196167e-05	0.000000e+00	-3.804731e-06
5.010083004464542e-06	3.814697e-05	0.000000e+00	-1.469776e-05
5.010176668511146e-06	3.051758e-05	0.000000e+00	-4.302261e-05
5.010278429743578e-06	1.525879e-05	0.000000e+00	-8.747791e-05
5.010402236288777e-06	-1.525879e-05	0.000000e+00	-1.605320e-04
5.010581196464127e-06	-6.484985e-05	-3.814697e-06	-2.951303e-04
5.010848462281466e-06	-1.678467e-04	-7.629395e-06	-5.383514e-04
5.011220411201848e-06	-3.471375e-04	-2.288818e-05	-9.206331e-04
5.011804985531047e-06	-6.942749e-04	-5.340576e-05	-1.536339e-03
5.012423513350140e-06	-1.110077e-03	-9.536743e-05	-2.110272e-03
5.013423513350140e-06	-1.831055e-03	-1.831055e-04	-2.790913e-03
5.014423513350140e-06	-2.552032e-03	-2.784729e-04	-3.189055e-03
5.015200000000000e-06	-3.093719e-03	-3.509521e-04	-3.314141e-03
5.015620702194747e-06	7.538490e-01	9.296417e-03	2.271358e+00
5.015806286790474e-06	2.116096e+00	3.725433e-02	6.237585e+00
5.015956449156112e-06	3.604252e+00	8.869171e-02	1.033828e+01
5.016051201113931e-06	4.306524e+00	1.346588e-01	1.207632e+01
5.016200000000000e-06	5.199053e+00	2.169838e-01	1.412621e+01
5.016214879888607e-06	5.251755e+00	2.260132e-01	1.421861e+01
5.016244639665821e-06	5.353603e+00	2.441750e-01	1.439577e+01
5.016304159220248e-06	5.535931e+00	2.808685e-01	1.469406e+01
5.016423198329103e-06	5.838259e+00	3.548470e-01	1.512021e+01
5.016495898143061e-06	5.974394e+00	4.000854e-01	1.524325e+01
5.016542857512767e-06	6.029461e+00	4.291916e-01	1.522695e+01
5.016553438430532e-06	6.033707e+00	4.356766e-01	1.519887e+01
5.016567546320885e-06	6.036699e+00	4.442635e-01	1.515389e+01
5.016595762101592e-06	6.040140e+00	4.612389e-01	1.505830e+01
5.016650192682469e-06	6.043777e+00	4.933357e-01	1.487217e+01
5.016736123318159e-06	6.049036e+00	5.421867e-01	1.459656e+01
5.016907984589538e-06	6.062887e+00	6.349182e-01	1.410434e+01
5.017090847133573e-06	6.080740e+00	7.273216e-01	1.364392e+01
5.017292099412298e-06	6.103136e+00	8.220215e-01	1.319903e+01
5.017443566121259e-06	6.125307e+00	8.886871e-01	1.291190e+01
5.017595331056067e-06	6.155525e+00	9.516716e-01	1.267306e+01
5.017724064308581e-06	6.184847e+00	1.002518e+00	1.249690e+01
5.017861393309648e-06	6.215902e+00	1.053921e+00	1.232350e+01
5.018084848371118e-06	6.263264e+00	1.132534e+00	1.205740e+01
5.018342073085946e-06	6.307150e+00	1.216061e+00	1.175787e+01
5.018676150365318e-06	6.336245e+00	1.313755e+00	1.137366e+01
5.019058199470448e-06	6.337694e+00	1.413544e+00	1.099321e+01
5.019344583976284e-06	6.328032e+00	1.480419e+00	1.081464e+01
5.019701804907519e-06	6.314306e+00	1.556061e+00	1.071404e+01
