v1	V(n001)	I(D1)	I(D2)
2.000000000000000e+000	2.000000e+000	2.161454e-005	2.418926e-004
2.001000000000000e+000	2.001000e+000	2.189587e-005	2.446447e-004
2.002000000000000e+000	2.002000e+000	2.218086e-005	2.474281e-004
2.003000000000000e+000	2.003000e+000	2.246956e-005	2.502431e-004
2.004000000000000e+000	2.004000e+000	2.276202e-005	2.530901e-004
2.005000000000000e+000	2.005000e+000	2.305829e-005	2.559695e-004
2.006000000000000e+000	2.006000e+000	2.335841e-005	2.588815e-004
2.007000000000000e+000	2.007000e+000	2.366244e-005	2.618267e-004
2.008000000000000e+000	2.008000e+000	2.397042e-005	2.648054e-004
2.009000000000000e+000	2.009000e+000	2.428241e-005	2.678179e-004
2.010000000000000e+000	2.010000e+000	2.459847e-005	2.708647e-004
2.011000000000000e+000	2.011000e+000	2.491863e-005	2.739461e-004
2.012000000000000e+000	2.012000e+000	2.524297e-005	2.770625e-004
2.013000000000000e+000	2.013000e+000	2.557152e-005	2.802143e-004
2.014000000000000e+000	2.014000e+000	2.590435e-005	2.834019e-004
2.015000000000000e+000	2.015000e+000	2.624151e-005	2.866258e-004
2.016000000000000e+000	2.016000e+000	2.658306e-005	2.898863e-004
2.017000000000000e+000	2.017000e+000	2.692905e-005	2.931838e-004
2.018000000000000e+000	2.018000e+000	2.727955e-005	2.965188e-004
2.019000000000000e+000	2.019000e+000	2.763461e-005	2.998918e-004
2.020000000000000e+000	2.020000e+000	2.799429e-005	3.033030e-004
2.021000000000000e+000	2.021000e+000	2.835865e-005	3.067530e-004
2.022000000000000e+000	2.022000e+000	2.872775e-005	3.102422e-004
2.023000000000000e+000	2.023000e+000	2.910165e-005	3.137711e-004
2.024000000000000e+000	2.024000e+000	2.948042e-005	3.173400e-004
2.025000000000000e+000	2.025000e+000	2.986412e-005	3.209495e-004
2.026000000000000e+000	2.026000e+000	3.025282e-005	3.246000e-004
2.027000000000000e+000	2.027000e+000	3.064657e-005	3.282920e-004
