time	V(N025,Vo_led6)	V(Vcc_led,Vi_led6)	I(D12)
0.000000000000000e+00	4.196167e-05	0.000000e+00	-4.167732e-15
1.020500000000002e-06	4.196167e-05	0.000000e+00	8.949601e-15
2.044500000000005e-06	4.196167e-05	0.000000e+00	9.372149e-15
3.068500000000007e-06	4.196167e-05	0.000000e+00	4.842233e-15
4.092500000000010e-06	4.196167e-05	0.000000e+00	2.624521e-17
5.010000000000000e-06	4.196167e-05	0.000000e+00	7.327472e-15
5.010029196113218e-06	4.196167e-05	0.000000e+00	-3.924407e-06
5.010087588339652e-06	3.814697e-05	0.000000e+00	-1.518405e-05
5.010182098163936e-06	2.670288e-05	0.000000e+00	-4.323645e-05
5.010287067965390e-06	7.629395e-06	0.000000e+00	-8.822857e-05
5.010412755503510e-06	-1.525879e-05	0.000000e+00	-1.610313e-04
5.010599943813268e-06	-7.247925e-05	-3.814697e-06	-2.995470e-04
5.010879013454971e-06	-1.792908e-04	-7.629395e-06	-5.493803e-04
5.011252931890954e-06	-3.700256e-04	-1.907349e-05	-9.272036e-04
5.011831698927082e-06	-7.171631e-04	-4.959106e-05	-1.525318e-03
5.012488630729648e-06	-1.163483e-03	-9.155273e-05	-2.122879e-03
5.013488630729649e-06	-1.888275e-03	-1.640320e-04	-2.789475e-03
5.014488630729648e-06	-2.613068e-03	-2.403259e-04	-3.182990e-03
5.015200000000000e-06	-3.108978e-03	-2.899170e-04	-3.301882e-03
5.015608047808665e-06	6.721268e-01	7.549286e-03	1.943309e+00
5.015785805094367e-06	1.919878e+00	3.141403e-02	5.422365e+00
5.015947924989025e-06	3.525436e+00	8.154297e-02	9.678064e+00
5.016047052188142e-06	4.281837e+00	1.255188e-01	1.149569e+01
5.016200000000000e-06	5.201484e+00	2.036095e-01	1.353023e+01
5.016215294781186e-06	5.257216e+00	2.121201e-01	1.362741e+01
5.016245884343558e-06	5.364047e+00	2.292175e-01	1.381102e+01
5.016307063468301e-06	5.552407e+00	2.635841e-01	1.411289e+01
5.016429421717787e-06	5.862628e+00	3.324051e-01	1.454099e+01
5.016491333272121e-06	5.979946e+00	3.670235e-01	1.465028e+01
5.016534061227018e-06	6.033968e+00	3.906975e-01	1.465096e+01
5.016536532710290e-06	6.035809e+00	3.920555e-01	1.464733e+01
5.016541475676834e-06	6.037902e+00	3.947525e-01	1.463548e+01
5.016551361609922e-06	6.041130e+00	4.001236e-01	1.460912e+01
5.016571133476097e-06	6.045280e+00	4.107590e-01	1.455059e+01
5.016608576702134e-06	6.049551e+00	4.305077e-01	1.443282e+01
5.016678781771478e-06	6.054588e+00	4.663162e-01	1.421447e+01
5.016785851089577e-06	6.063026e+00	5.180130e-01	1.390853e+01
5.016962062991856e-06	6.080776e+00	5.969162e-01	1.346376e+01
5.017152757579087e-06	6.102698e+00	6.748009e-01	1.304094e+01
5.017351734394088e-06	6.128823e+00	7.486916e-01	1.265397e+01
5.017477931393865e-06	6.151358e+00	7.915230e-01	1.244834e+01
5.017634431050820e-06	6.187272e+00	8.407249e-01	1.223717e+01
5.017741819008076e-06	6.213598e+00	8.723297e-01	1.210753e+01
5.017887535279263e-06	6.248449e+00	9.117355e-01	1.194452e+01
5.018178967821638e-06	6.310210e+00	9.819717e-01	1.163103e+01
5.018583360009725e-06	6.369189e+00	1.065769e+00	1.117554e+01
5.018900811921984e-06	6.384983e+00	1.119766e+00	1.079850e+01
5.019242323593289e-06	6.381395e+00	1.166435e+00	1.045124e+01
5.019546672197685e-06	6.375496e+00	1.200699e+00	1.026531e+01
5.019873925489750e-06	6.369129e+00	1.231373e+00	1.018389e+01
5.020488267404584e-06	6.357583e+00	1.279816e+00	1.013083e+01
5.021121767870190e-06	6.347194e+00	1.320335e+00	1.009918e+01
5.022121767870190e-06	6.333646e+00	1.369251e+00	1.005952e+01
5.023121767870190e-06	6.322879e+00	1.405376e+00	1.002768e+01
5.024121767870190e-06	6.314591e+00	1.430885e+00	1.000322e+01
5.025121767870190e-06	6.308216e+00	1.448830e+00	9.984388e+00
5.026121767870190e-06	6.303298e+00	1.461391e+00	9.969870e+00
5.027121767870190e-06	6.299497e+00	1.470139e+00	9.958646e+00
5.028121767870190e-06	6.296550e+00	1.476192e+00	9.949943e+00
5.029121767870190e-06	6.294259e+00	1.480347e+00	9.943178e+00
5.030121767870190e-06	6.292473e+00	1.483173e+00	9.937902e+00
5.031121767870190e-06	6.291078e+00	1.485069e+00	9.933784e+00
5.032121767870190e-06	6.289986e+00	1.486320e+00	9.930558e+00
5.033121767870190e-06	6.289130e+00	1.487129e+00	9.928032e+00
5.034121767870190e-06	6.288459e+00	1.487637e+00	9.926052e+00
5.035121767870190e-06	6.287934e+00	1.487938e+00	9.924500e+00
5.036121767870190e-06	6.287523e+00	1.488110e+00	9.923285e+00
5.037121767870190e-06	6.287201e+00	1.488190e+00	9.922337e+00
5.038121767870190e-06	6.286951e+00	1.488220e+00	9.921598e+00
5.039121767870190e-06	6.286758e+00	1.488213e+00	9.921027e+00
5.040121767870190e-06	6.286609e+00	1.488190e+00	9.920588e+00
5.041121767870190e-06	6.286495e+00	1.488155e+00	9.920253e+00
5.042121767870190e-06	6.286410e+00	1.488121e+00	9.920001e+00
5.043121767870190e-06	6.286347e+00	1.488083e+00	9.919815e+00
5.044121767870190e-06	6.286302e+00	1.488052e+00	9.919682e+00
5.045121767870190e-06	6.286270e+00	1.488022e+00	9.919588e+00
5.046121767870190e-06	6.286250e+00	1.487999e+00	9.919528e+00
5.047121767870190e-06	6.286238e+00	1.487980e+00	9.919493e+00
5.048121767870190e-06	6.286233e+00	1.487965e+00	9.919477e+00
5.049121767870190e-06	6.286232e+00	1.487953e+00	9.919476e+00
5.050121767870190e-06	6.286235e+00	1.487946e+00	9.919485e+00
5.051121767870190e-06	6.286242e+00	1.487938e+00	9.919504e+00
5.052121767870190e-06	6.286250e+00	1.487938e+00	9.919529e+00
5.053121767870190e-06	6.286260e+00	1.487934e+00	9.919559e+00
5.054121767870190e-06	6.286271e+00	1.487934e+00	9.919591e+00
5.055121767870190e-06	6.286283e+00	1.487938e+00	9.919625e+00
5.056121767870190e-06	6.286294e+00	1.487938e+00	9.919660e+00
5.057121767870190e-06	6.286306e+00	1.487942e+00	9.919695e+00
5.058121767870190e-06	6.286318e+00	1.487946e+00	9.919729e+00
5.059121767870190e-06	6.286330e+00	1.487949e+00	9.919764e+00
5.060121767870190e-06	6.286341e+00	1.487953e+00	9.919796e+00
5.061121767870190e-06	6.286351e+00	1.487961e+00	9.919827e+00
5.062121767870190e-06	6.286362e+00	1.487965e+00	9.919858e+00
5.063121767870190e-06	6.286371e+00	1.487968e+00	9.919887e+00
5.064121767870190e-06	6.286381e+00	1.487972e+00	9.919914e+00
5.065121767870190e-06	6.286389e+00	1.487976e+00	9.919940e+00
5.066121767870190e-06	6.286397e+00	1.487980e+00	9.919964e+00
5.067121767870190e-06	6.286405e+00	1.487984e+00	9.919987e+00
5.068121767870191e-06	6.286412e+00	1.487988e+00	9.920008e+00
