time	V(Vcc_led,Vi_led5)	V(Vi_led5,N001)	I(D6)
0.000000000000000e+00	0.000000e+00	4.959106e-05	7.768569e-15
1.020500000000002e-06	0.000000e+00	4.959106e-05	1.322756e-15
2.044500000000005e-06	0.000000e+00	4.959106e-05	-6.369702e-15
3.068500000000007e-06	0.000000e+00	4.959106e-05	-9.815691e-16
4.092500000000010e-06	0.000000e+00	4.959106e-05	7.164930e-15
5.010000000000000e-06	0.000000e+00	4.959106e-05	-5.551115e-16
5.010024504569272e-06	0.000000e+00	4.959106e-05	-3.657422e-06
5.010073513707813e-06	0.000000e+00	4.577637e-05	-1.422841e-05
5.010171531984899e-06	0.000000e+00	3.433228e-05	-4.662598e-05
5.010263524985434e-06	0.000000e+00	1.907349e-05	-9.082692e-05
5.010389144798269e-06	0.000000e+00	-1.525879e-05	-1.727503e-04
5.010555269885641e-06	-3.814697e-06	-6.484985e-05	-3.110640e-04
5.010819980262910e-06	-7.629395e-06	-1.831055e-04	-5.799962e-04
5.011207674011450e-06	-2.288818e-05	-4.005432e-04	-1.027644e-03
5.011795914848033e-06	-5.722046e-05	-8.010864e-04	-1.728622e-03
5.012403931749843e-06	-1.029968e-04	-1.277924e-03	-2.373734e-03
5.013403931749843e-06	-1.983643e-04	-2.113342e-03	-3.168664e-03
5.014403931749843e-06	-2.975464e-04	-2.952576e-03	-3.654467e-03
5.015200000000000e-06	-3.738403e-04	-3.601074e-03	-3.831241e-03
5.015624520341212e-06	1.104736e-02	9.298019e-01	2.674583e+00
5.015812493237123e-06	4.387665e-02	2.595963e+00	7.316674e+00
5.015962249946172e-06	1.028900e-01	4.367168e+00	1.200517e+01
5.016051994576439e-06	1.526413e-01	5.153896e+00	1.389553e+01
5.016200000000000e-06	2.457924e-01	6.211433e+00	1.628702e+01
5.016214800542356e-06	2.559891e-01	6.273743e+00	1.639835e+01
5.016244401627069e-06	2.764931e-01	6.394409e+00	1.661296e+01
5.016303603796492e-06	3.178825e-01	6.611198e+00	1.698005e+01
5.016422008135341e-06	4.012604e-01	6.972061e+00	1.752213e+01
5.016493627214597e-06	4.517288e-01	7.136467e+00	1.770380e+01
5.016540039134509e-06	4.841805e-01	7.199223e+00	1.769918e+01
5.016584864155203e-06	5.151253e-01	7.224236e+00	1.759382e+01
5.016609072594181e-06	5.315857e-01	7.227921e+00	1.751022e+01
5.016639038395842e-06	5.515900e-01	7.229164e+00	1.740060e+01
5.016698969999163e-06	5.907288e-01	7.231739e+00	1.718992e+01
5.016771311088894e-06	6.363449e-01	7.236305e+00	1.695444e+01
5.016915993268356e-06	7.228851e-01	7.249161e+00	1.653241e+01
5.017114074788895e-06	8.335648e-01	7.270266e+00	1.602021e+01
5.017325762436935e-06	9.432716e-01	7.296600e+00	1.553831e+01
5.017467243285395e-06	1.011105e+00	7.321598e+00	1.526920e+01
5.017660810287349e-06	1.097809e+00	7.368071e+00	1.496946e+01
5.017790235371475e-06	1.152512e+00	7.402304e+00	1.479416e+01
5.017939372608579e-06	1.211235e+00	7.440628e+00	1.460999e+01
5.018237647082786e-06	1.319321e+00	7.507771e+00	1.428326e+01
5.018586132785226e-06	1.433868e+00	7.558748e+00	1.397706e+01
5.018903331168756e-06	1.527447e+00	7.568880e+00	1.379254e+01
5.019241513257023e-06	1.617779e+00	7.555857e+00	1.369069e+01
5.019559026026329e-06	1.695454e+00	7.539869e+00	1.363755e+01
