time	V(N021,Vo_led7)	V(Vcc_led,Vi_led7)	I(D28)
0.000000000000000e+00	3.814697e-05	0.000000e+00	3.669048e-15
1.020500000000002e-06	3.814697e-05	0.000000e+00	8.296676e-15
2.044500000000005e-06	3.814697e-05	0.000000e+00	1.332922e-14
3.068500000000007e-06	3.814697e-05	0.000000e+00	3.848093e-15
4.092500000000010e-06	3.814697e-05	0.000000e+00	-1.875842e-15
5.010000000000000e-06	3.814697e-05	0.000000e+00	3.492757e-15
5.010006600110000e-06	3.814697e-05	0.000000e+00	1.503979e-15
5.010019800330000e-06	3.814697e-05	0.000000e+00	2.400123e-15
5.010415806929999e-06	3.814697e-05	0.000000e+00	1.072440e-14
5.010599445609685e-06	3.814697e-05	0.000000e+00	1.110757e-14
5.010705813438823e-06	3.814697e-05	0.000000e+00	1.164783e-14
5.010792027554202e-06	3.814697e-05	0.000000e+00	1.188975e-14
5.010872258505358e-06	3.814697e-05	0.000000e+00	1.081651e-14
5.010968106253043e-06	3.814697e-05	0.000000e+00	9.495821e-15
5.011067908903531e-06	3.814697e-05	0.000000e+00	9.464601e-15
5.011267514204508e-06	3.814697e-05	0.000000e+00	1.035340e-14
5.011666724806462e-06	3.814697e-05	0.000000e+00	1.211998e-14
5.012465146010369e-06	3.814697e-05	0.000000e+00	1.453751e-14
5.013396180588134e-06	3.814697e-05	0.000000e+00	1.597515e-14
5.014396180588134e-06	3.814697e-05	0.000000e+00	1.299348e-14
5.015000000000000e-06	3.814697e-05	0.000000e+00	8.320522e-15
5.016000000000000e-06	3.814697e-05	0.000000e+00	-1.564579e-15
5.016100000000000e-06	3.814697e-05	0.000000e+00	1.632524e-15
5.016300000000000e-06	3.814697e-05	0.000000e+00	5.224445e-15
5.016700000000000e-06	3.814697e-05	0.000000e+00	7.822895e-15
5.017500000000000e-06	3.814697e-05	0.000000e+00	4.824731e-15
5.018500000000000e-06	3.814697e-05	0.000000e+00	-4.218847e-15
5.019500000000000e-06	-4.196167e-05	0.000000e+00	-2.188846e-04
5.019901114246211e-06	-2.365112e-04	-7.629395e-06	-7.490378e-04
5.020148754470178e-06	-4.997253e-04	-1.907349e-05	-1.425263e-03
5.020353181389593e-06	-7.629395e-04	-3.433228e-05	-2.044393e-03
5.020571015494787e-06	-1.029968e-03	-5.722046e-05	-2.573245e-03
5.020793999715306e-06	-1.266479e-03	-8.392334e-05	-2.930410e-03
5.021239968156342e-06	-1.659393e-03	-1.411438e-04	-3.267838e-03
5.021933452582527e-06	-2.120972e-03	-2.326965e-04	-3.292122e-03
5.022900942360148e-06	-2.613068e-03	-3.509521e-04	-2.888761e-03
5.023025942360148e-06	-2.658844e-03	-3.623962e-04	-2.810357e-03
5.023275942360148e-06	-2.731323e-03	-3.852844e-04	-2.625740e-03
5.023775942360148e-06	-2.445221e-03	-4.196167e-04	-9.705770e-04
5.023885991900330e-06	8.469009e-02	-8.392334e-05	2.717766e-01
5.023933724404785e-06	2.853394e-01	9.384155e-04	8.964271e-01
5.023967004957898e-06	5.432358e-01	2.880096e-03	1.690411e+00
5.023999379585231e-06	8.106232e-01	6.092072e-03	2.496438e+00
5.024037107779939e-06	1.094963e+00	1.153946e-02	3.325756e+00
5.024112564169355e-06	1.609890e+00	2.707672e-02	4.755556e+00
5.024255423215943e-06	2.435587e+00	6.797791e-02	6.879645e+00
5.024482580536997e-06	3.425759e+00	1.527061e-01	9.150612e+00
5.024787665009100e-06	4.305836e+00	2.872581e-01	1.082139e+01
5.025104268848189e-06	4.891799e+00	4.379272e-01	1.161756e+01
5.025129075832556e-06	4.922950e+00	4.499893e-01	1.163978e+01
5.025178689801290e-06	4.969507e+00	4.741287e-01	1.164319e+01
5.025277917738758e-06	5.050161e+00	5.220795e-01	1.161967e+01
5.025364194712077e-06	5.109328e+00	5.633965e-01	1.157309e+01
5.025414168427841e-06	5.136860e+00	5.870819e-01	1.152916e+01
5.025447021209890e-06	5.148693e+00	6.025047e-01	1.148248e+01
5.025478783682157e-06	5.153594e+00	6.172791e-01	1.141813e+01
5.025507445937859e-06	5.154626e+00	6.304893e-01	1.135058e+01
5.025539415670222e-06	5.154566e+00	6.450310e-01	1.127316e+01
5.025603355134948e-06	5.154151e+00	6.736336e-01	1.112166e+01
5.025679780327799e-06	5.154258e+00	7.069397e-01	1.095002e+01
5.025832630713503e-06	5.156362e+00	7.709122e-01	1.063377e+01
5.026055658218169e-06	5.161704e+00	8.594818e-01	1.021451e+01
5.026290879326161e-06	5.170046e+00	9.469261e-01	9.820786e+00
5.026570496346906e-06	5.186571e+00	1.043690e+00	9.417595e+00
5.026831006638880e-06	5.210079e+00	1.127983e+00	9.100780e+00
5.027043264049165e-06	5.232789e+00	1.192455e+00	8.876506e+00
5.027273540974171e-06	5.257586e+00	1.257870e+00	8.659068e+00
5.027675598604641e-06	5.299422e+00	1.363823e+00	8.336608e+00
5.028134652581239e-06	5.338703e+00	1.474216e+00	8.087721e+00
5.028918705303676e-06	5.373016e+00	1.645512e+00	7.882783e+00
5.029650596938484e-06	5.370734e+00	1.792744e+00	7.794857e+00
5.030232631546591e-06	5.355554e+00	1.900913e+00	7.745747e+00
5.030863620722933e-06	5.338466e+00	2.009533e+00	7.693837e+00
5.031655922595521e-06	5.318331e+00	2.134941e+00	7.632169e+00
5.032655922595520e-06	5.294993e+00	2.278717e+00	7.560758e+00
5.033655922595521e-06	5.274048e+00	2.407898e+00	7.496697e+00
5.034655922595520e-06	5.255428e+00	2.523216e+00	7.439762e+00
5.035655922595520e-06	5.238920e+00	2.626171e+00	7.389303e+00
5.036655922595520e-06	5.224282e+00	2.718105e+00	7.344574e+00
5.037655922595520e-06	5.211315e+00	2.800213e+00	7.304961e+00
5.038655922595521e-06	5.199820e+00	2.873558e+00	7.269849e+00
5.039655922595520e-06	5.189631e+00	2.939083e+00	7.238736e+00
5.040655922595521e-06	5.180594e+00	2.997635e+00	7.211143e+00
5.041655922595520e-06	5.172578e+00	3.049965e+00	7.186674e+00
5.042655922595520e-06	5.165463e+00	3.096741e+00	7.164956e+00
5.043655922595521e-06	5.159148e+00	3.138561e+00	7.145681e+00
5.044655922595520e-06	5.153537e+00	3.175949e+00	7.128561e+00
5.045655922595521e-06	5.148554e+00	3.209385e+00	7.113354e+00
5.046655922595520e-06	5.144124e+00	3.239288e+00	7.099838e+00
5.047655922595520e-06	5.140186e+00	3.266037e+00	7.087823e+00
5.048655922595521e-06	5.136683e+00	3.289970e+00	7.077138e+00
5.049655922595520e-06	5.133568e+00	3.311378e+00	7.067635e+00
5.050655922595521e-06	5.130796e+00	3.330536e+00	7.059177e+00
5.051655922595520e-06	5.128329e+00	3.347679e+00	7.051651e+00
5.052655922595520e-06	5.126132e+00	3.363026e+00	7.044951e+00
5.053655922595520e-06	5.124176e+00	3.376762e+00	7.038987e+00
5.054655922595520e-06	5.122434e+00	3.389057e+00	7.033674e+00
5.055655922595521e-06	5.120883e+00	3.400066e+00	7.028944e+00
5.056655922595520e-06	5.119501e+00	3.409920e+00	7.024729e+00
5.057655922595521e-06	5.118270e+00	3.418747e+00	7.020974e+00
5.058655922595520e-06	5.117172e+00	3.426651e+00	7.017629e+00
5.059655922595520e-06	5.116195e+00	3.433731e+00	7.014648e+00
5.060655922595521e-06	5.115324e+00	3.440071e+00	7.011992e+00
5.061655922595520e-06	5.114548e+00	3.445751e+00	7.009626e+00
5.062655922595521e-06	5.113856e+00	3.450844e+00	7.007517e+00
5.063655922595520e-06	5.113240e+00	3.455402e+00	7.005637e+00
5.064655922595520e-06	5.112691e+00	3.459488e+00	7.003963e+00
5.065655922595521e-06	5.112202e+00	3.463150e+00	7.002470e+00
5.066655922595520e-06	5.111766e+00	3.466434e+00	7.001141e+00
5.067655922595521e-06	5.111377e+00	3.469376e+00	6.999957e+00
5.068655922595520e-06	5.111031e+00	3.472015e+00	6.998901e+00
5.069655922595521e-06	5.110723e+00	3.474380e+00	6.997962e+00
5.070655922595520e-06	5.110449e+00	3.476501e+00	6.997125e+00
5.071655922595520e-06	5.110204e+00	3.478401e+00	6.996380e+00
5.072655922595521e-06	5.109987e+00	3.480110e+00	6.995717e+00
5.073655922595520e-06	5.109793e+00	3.481640e+00	6.995127e+00
5.074655922595521e-06	5.109621e+00	3.483013e+00	6.994601e+00
5.075655922595520e-06	5.109468e+00	3.484245e+00	6.994134e+00
5.076655922595520e-06	5.109332e+00	3.485352e+00	6.993719e+00
5.077655922595521e-06	5.109211e+00	3.486343e+00	6.993350e+00
5.078655922595520e-06	5.109103e+00	3.487236e+00	6.993022e+00
5.079655922595521e-06	5.109007e+00	3.488037e+00	6.992731e+00
